<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;D;20100111;000000;29.5100000;29.7498000;29.3350000;29.3975000;578915000
USD000000TOD;D;20100112;000000;29.3900000;29.4800000;29.3100000;29.4500000;753269000
USD000000TOD;D;20100113;000000;29.6000000;29.6745000;29.5050000;29.5400000;1094839000
USD000000TOD;D;20100114;000000;29.3200000;29.5395000;29.3200000;29.4900000;1107868000
USD000000TOD;D;20100115;000000;29.5700000;29.5924000;29.4775000;29.5300000;1142190000
USD000000TOD;D;20100119;000000;29.5500000;29.7499000;29.4900000;29.7499000;779982000
USD000000TOD;D;20100120;000000;29.7465000;29.7500000;29.6300000;29.6775000;1139062000
USD000000TOD;D;20100121;000000;29.7650000;29.8593000;29.7200000;29.7650000;1090441000
USD000000TOD;D;20100122;000000;29.7400000;29.8570000;29.6754000;29.7900000;1295973000
USD000000TOD;D;20100125;000000;30.0700000;30.1700000;29.9550000;30.0290000;1261840000
USD000000TOD;D;20100126;000000;30.2700000;30.4100000;30.2450000;30.3924000;825989000
USD000000TOD;D;20100127;000000;30.3300000;30.3401000;30.2205000;30.2800000;899487000
USD000000TOD;D;20100128;000000;30.3252000;30.4171000;30.2500000;30.3600000;1027443000
USD000000TOD;D;20100129;000000;30.4500000;30.4700000;30.3145000;30.3375000;1037795000
USD000000TOD;D;20100201;000000;30.4200000;30.4500000;30.3100000;30.3650000;682194000
USD000000TOD;D;20100202;000000;30.2500000;30.2596000;30.1250000;30.1586000;837754000
